Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
10/09/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,FL,33144,None,None,Web,10/09/25,Closed with explanation,Yes,N/A,16474970
10/03/25,Checking or savings account,Checking account,Problem caused by your funds being low,Non-sufficient funds and associated fees,I have tried to resolve the matter with this company on 3 occasions and the bank refuse to give me my money back. The phone that was stolen and misplaced was a company phone and they are trying to tell me that multiple logins were occurring from the phone. The phone was not in my possession. This company did not do a thorough investigation and now I am forced to start a class action lawsuit against them for discrimination and unlawful business practices.,None,TD BANK US HOLDING COMPANY,FL,32209,None,Consent provided,Web,10/03/25,Closed with monetary relief,Yes,N/A,16356278
10/25/25,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,,None,TD BANK US HOLDING COMPANY,FL,32065,None,None,Web,10/25/25,Closed with explanation,Yes,N/A,16816606
10/20/25,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,,None,TD BANK US HOLDING COMPANY,NY,11370,None,None,Web,10/20/25,Closed with monetary relief,Yes,N/A,16703887
10/22/25,Checking or savings account,Checking account,Opening an account,Didn't receive terms that were advertised,,None,TD BANK US HOLDING COMPANY,NJ,08816,None,None,Web,10/22/25,Closed with monetary relief,Yes,N/A,16745821
11/17/25,Checking or savings account,Checking account,Managing an account,Banking errors,,None,TD BANK US HOLDING COMPANY,NY,11720,None,None,Web,11/17/25,Closed with explanation,Yes,N/A,17280085
10/15/25,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,None,TD BANK US HOLDING COMPANY,FL,338XX,None,Other,Web,10/15/25,Closed with monetary relief,Yes,N/A,16606723
11/07/25,Checking or savings account,Checking account,Opening an account,Didn't receive terms that were advertised,,None,TD BANK US HOLDING COMPANY,NY,10019,None,None,Web,11/07/25,Closed with monetary relief,Yes,N/A,17091589
11/12/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,NY,11418,None,None,Web,11/12/25,Closed with explanation,Yes,N/A,17196357
10/14/25,Credit card,Store credit card,Incorrect information on your report,Information belongs to someone else,,None,TD BANK US HOLDING COMPANY,TX,77044,None,None,Web,10/14/25,Closed with non-monetary relief,Yes,N/A,16566076
10/15/25,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,,None,TD BANK US HOLDING COMPANY,PA,19601,None,None,Web,10/15/25,Closed with non-monetary relief,Yes,N/A,16610800
10/29/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,CA,95045,None,None,Web,10/29/25,Closed with explanation,Yes,N/A,16907999
11/02/25,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,Trying to communicate with the company to fix an issue while managing or servicing your loan,,None,TD BANK US HOLDING COMPANY,DC,20016,None,None,Web,11/02/25,In progress,Yes,N/A,16974130
10/03/25,Vehicle loan or lease,Loan,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,CO,81504,None,N/A,Postal mail,11/17/25,In progress,Yes,N/A,16355091
10/09/25,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,,None,TD BANK US HOLDING COMPANY,MD,20744,Servicemember,None,Web,10/09/25,Closed with monetary relief,Yes,N/A,16475188
10/03/25,Credit reporting or other personal consumer reports,Credit reporting,Credit monitoring or identity theft protection services,Didn't receive services that were advertised,,None,TD BANK US HOLDING COMPANY,PA,15217,None,None,Web,10/03/25,Closed with non-monetary relief,Yes,N/A,16356374
10/26/25,Checking or savings account,Checking account,Closing an account,Company closed your account,,None,TD BANK US HOLDING COMPANY,NY,12304,None,None,Web,10/26/25,Closed with explanation,Yes,N/A,16830122
11/12/25,Credit reporting or other personal consumer reports,Credit reporting,Credit monitoring or identity theft protection services,Billing dispute for services,,None,TD BANK US HOLDING COMPANY,FL,32809,None,None,Web,11/12/25,In progress,Yes,N/A,17157109
11/18/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,FL,33624,None,None,Web,11/18/25,Closed with explanation,Yes,N/A,17336855
10/30/25,Checking or savings account,Checking account,Managing an account,Problem accessing account,,None,TD BANK US HOLDING COMPANY,GA,30013,None,None,Web,10/30/25,Closed with non-monetary relief,Yes,N/A,16914421
10/13/25,Vehicle loan or lease,Loan,Getting a loan or lease,Loan opened without my consent or knowledge,,None,TD BANK US HOLDING COMPANY,CA,94558,None,Other,Web,10/13/25,Closed with explanation,Yes,N/A,16526983
11/10/25,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,,None,TD BANK US HOLDING COMPANY,PA,19146,None,None,Web,11/10/25,Closed with explanation,Yes,N/A,17128380
11/14/25,Credit card,Store credit card,Getting a credit card,Card opened without my consent or knowledge,,None,TD BANK US HOLDING COMPANY,FL,33130,None,None,Web,11/14/25,In progress,Yes,N/A,17248180
